type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-13 23:55,40.652,Xuong,,,,,,,,107.63576850083182,16.28929281014457,327.581543,420.03,77.99,1.26381767,,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-14 23:55,39.647,Xuong,,,,,,,,107.63576850083182,16.28929281014457,307.366,420.03,73.18,159.2521,466.93,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-15 23:55,38.789,Xuong,,,,,,,,107.63576850083182,16.28929281014457,291.922028,420.03,69.5,175.041992,286.23,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-16 01:25,38.756,Xuong,,,,,,,,107.63576850083182,16.28929281014457,291.328,420.03,69.36,160.151688,286.23,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-16 02:05,38.743,Xuong,,,,,,,,107.63576850083182,16.28929281014457,291.094,420.03,69.3,173.192871,286.23,45.0,53.07,1.0,46.0,6.0
Lake,fd622826-9f2e-4130-8995-1654bac81895,Tả Trạch,Hương - Bồ,TP. Huế,2025-11-16 03:15,38.718,Xuong,,,,,,,,107.63576850083182,16.28929281014457,290.643982,420.03,69.2,169.649017,286.23,45.0,53.07,01,46,06
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-10 07:00,64.684,Len,,,,,,,,108.91479184835296,14.016780098537918,21.222,35.36,60.02,8.17,0.0,68.0,,1.0,52.0,2.0
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-11 07:00,64.81,Len,,,,,,,,108.91479184835296,14.016780098537918,21.696,35.36,61.36,5.49,0.0,68.0,,1.0,52.0,2.0
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-12 07:00,64.91,Len,,,,,,,,108.91479184835296,14.016780098537918,22.075,35.36,62.43,4.39,0.0,68.0,,1.0,52.0,2.0
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-13 07:00,65.002,Len,,,,,,,,108.91479184835296,14.016780098537918,22.418,35.36,63.4,3.97,0.0,68.0,,1.0,52.0,2.0
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-14 07:00,65.09,Len,,,,,,,,108.91479184835296,14.016780098537918,22.748,35.36,64.33,3.82,0.0,68.0,,1.0,52.0,2.0
Lake,062A7CF0-46F3-4E99-8BCD-040CEF304344,Thuận Ninh,Kôn - Hà Thanh,Gia Lai,2025-11-15 07:00,65.156,Len,,,,,,,,108.91479184835296,14.016780098537918,22.997,35.36,65.04,2.88,0.0,68.0,,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-10 13:00,665.56,Len,,,,,,,,108.68348759256403,14.30076530390785,32.76,39.5,82.94,15.61,0.0,668.0,668.72,1.0,52.0,2.0
Lake,9BFF6E76-94E2-4233-B659-258D74A1295F,Trà Xom,Kôn - Hà Thanh,Gia Lai,2025-11-11 19:00,665.87,Len,,,,,,,,108.68348759256403,14.30076530390785,33.62,39.5,85.11,10.77,0.0,668.0,668.72,1.0,52.0,2.0
